Date,SRH0612,SRH1224,SRH0306
2024-03-01,GOOD,GOOD,GOOD
2024-03-02,GOOD,GOOD,GOOD
2024-03-03,GOOD,GOOD,GOOD
2024-03-04,GOOD,GOOD,GOOD
2024-03-05,GOOD,GOOD,GOOD
2024-03-06,GOOD,GOOD,GOOD
2024-03-07,PROBLEM,GOOD,GOOD
2024-03-08,GOOD,GOOD,GOOD
2024-03-09,BAD,BAD,GOOD
2024-03-10,GOOD,GOOD,GOOD
2024-03-11,PROBLEM,PROBLEM,GOOD
2024-03-12,GOOD,GOOD,GOOD
2024-03-13,GOOD,GOOD,GOOD
2024-03-14,GOOD,GOOD,GOOD
2024-03-15,GOOD,GOOD,GOOD
2024-03-16,GOOD,GOOD,GOOD
2024-03-17,GOOD,GOOD,GOOD
2024-03-18,GOOD,GOOD,GOOD
2024-03-19,GOOD,BAD,GOOD
2024-03-20,GOOD,GOOD,GOOD
2024-03-21,GOOD,GOOD,GOOD
2024-03-22,GOOD,GOOD,GOOD
2024-03-23,GOOD,GOOD,GOOD
2024-03-24,PROBLEM,PROBLEM,GOOD
2024-03-25,GOOD,PROBLEM,GOOD
2024-03-26,PROBLEM,PROBLEM,GOOD
2024-03-27,GOOD,GOOD,GOOD
2024-03-28,GOOD,GOOD,GOOD
2024-03-29,GOOD,GOOD,GOOD
2024-03-30,GOOD,GOOD,GOOD
2024-03-31,GOOD,GOOD,GOOD
